Name;Priority;Set;Md5Hash;Encrypted;Filename
Kickstart 1.2 (33.180) (A500) Rom;1;Kickstart Cloanto Amiga Forever 2016;c56ca2a3c644d53e780a7e4dbdc6b699;Yes;kick33180.A500
Kickstart 1.3 (34.5) (A500) Rom;1;Kickstart Cloanto Amiga Forever 2016;89160c06ef4f17094382fc09841557a6;Yes;kick34005.A500
Kickstart 3.1 (40.063) (A600) Rom;1;Kickstart Cloanto Amiga Forever 2016;c3e114cd3b513dc0377a4f5d149e2dd9;Yes;kick40063.A600
Kickstart 3.1 (40.068) (A1200) Rom;1;Kickstart Cloanto Amiga Forever 2016;dc3f5e4698936da34186d596c53681ab;Yes;kick40068.A1200
Kickstart 3.1 (40.068) (A4000) Rom;1;Kickstart Cloanto Amiga Forever 2016;8b54c2c5786e9d856ce820476505367d;Yes;kick40068.A4000
Kickstart 1.2 (33.180) (A500) Rom;2;Kickstart Custom;85ad74194e87c08904327de1a9443b7a;No;kick33180.A500
Kickstart 1.3 (34.5) (A500) Rom;2;Kickstart Custom;82a21c1890cae844b3df741f2762d48d;No;kick34005.A500
Kickstart 3.1 (40.063) (A600) Rom;2;Kickstart Custom;e40a5dfb3d017ba8779faba30cbd1c8e;No;kick40063.A600
Kickstart 3.1 (40.068) (A1200) Rom;2;Kickstart Custom;646773759326fbac3b2311fd8c8793ee;No;kick40068.A1200
Kickstart 3.1 (40.068) (A4000) Rom;2;Kickstart Custom;9bdedde6a4f33555b4a270c8ca53297d;No;kick40068.A4000
